"","KENYA_30_SAMPLE_POOL_20M","KENYA_30_SAMPLE_POOL_50M","KENYA_30_SAMPLE_POOL","KENYA_POP_POOL_20M","KENYA_POP_POOL_50M","UK_30_SAMPLE_POOL_20M","UK_30_SAMPLE_POOL_50M","UK_30_SAMPLE_POOL","UK_POP_POOL_20M","UK_POP_POOL_50M"
"ARO:3002949",0,0,0,0,0,0,0,0,0.499828578646313,0.941075885353377
"ARO:3002955",0,0,0,0,0,0,0,0,1.32625759382274,1.5753310560054
"ARO:3002962",0,0,0,0,0,0,0,0,1.16616393874961,0.523151647490272
"ARO:3002966",0.768196734501526,0.537536149306041,1.74694589877836,0,0,0,0,0.562846112584332,0.999160705007794,0.666166762630388
"ARO:3002970",0.993482753139406,0.777279898491447,1.27986524178912,0.498547708848138,0.66605322604839,0,0.668511759121843,1.17310443490701,0.878199407923625,1.02016486136658
"ARO:3002972",1.40803075164926,1.98937034029674,4.57881207450006,0.998463901689708,1.12370942395106,0,0.9951245575369,0.998845893087262,0,0
"ARO:3002985",4.04282993377025,8.30246436289379,29.6110266465561,1.13302841889384,2.72251432371858,1.17835326438268,1.57064486587765,3.65065823080782,0.998826881179822,0
"ARO:3002986",33.5911240875912,74.0442238442822,281.15997810219,18.9167226277372,57.6623844282238,47.8600875912409,119.024321167883,417.542072992701,73.6622603406326,199.989610705596
"ARO:3002999",1.88511574892898,3.1086637298091,11.2833996530966,2.27086472157808,3.7310248902238,5.80778038522146,14.0794007831816,52.2638295671028,3.44838172912419,7.18600245179984
"ARO:3003002",2.54817077332605,14.066534914361,47.1287130870655,6.66442840355884,18.2955835183814,3.26442976546496,7.15063607750212,30.4604533410571,1.00158640531311,8.13446660128582
"ARO:3003003",5.99610343218733,9.76902388862522,38.0427145911822,3.2263630089717,7.99518686901027,3.899727933867,11.1648018177605,49.4090863554398,3.30821599876218,9.58400993247541
"ARO:3003005",1.00180324584252,1.00180324584252,2.6241874067961,0,1.28641596715091,0,0,0,0,2.03634085213033
"ARO:3003009",0,0,0.999500249875062,0,0,0,0,0,0,0
"ARO:3003013",3.32788212876004,11.6946579891461,33.740089136717,2.71110496260942,1.96291289446015,0,0,1.00110188395281,0,0
"ARO:3003014",0,0,0,0.999816547422491,1.70571864619804,0,0,0,0,0
"ARO:3003019",0,0,0,0.534044916928331,0,0,0,0,0,0
"ARO:3003030",6.04077676261584,9.45544276678229,42.3950902376866,1.46073040071952,3.28633904718443,0,1.17689467135559,2.76733484430452,0,0
"ARO:3003031",4.24411777600167,10.65468057943,35.344231795342,1.28861358748147,2.49515841806004,1.16395451593846,1.58886294336184,3.47717365189296,0,0.629073249289147
"ARO:3003033",2.60797194407908,4.72779369627507,18.6813501288497,1.57239732569245,1.52936680272163,1.2842355249232,1.14994648215616,2.36762459750382,0.998676251277669,0.994906080865966
"ARO:3003034",2.61144379530455,3.80755763843999,12.5757464110862,1.00449378799894,1.67521367521368,0,1.22880314573605,2.98273155416013,1.00160256410256,1.00160256410256
"ARO:3003046",0,0,0,0,0,1.50410577111334,1.67876614478556,4.72277459351971,0.806743260911898,2.16761057173679
"ARO:3003047",0,0,0,0,0,0.952837816329779,1.98148526656447,2.68402226824086,0,1.00090081072966
"ARO:3003049",0,0,0,0,0,0,0,0,0,0.996095306398916
"ARO:3003057",0,0,0,0,1.00203151595015,0,0,0,0.500657959277564,1.00203151595015
"ARO:3003069",0,0.997337206487533,1.7357762777242,0.998826881179822,0,0,0,0,0,0
"ARO:3003070",0,0,0,0,0,0,0,1.00124153950899,0,0
"ARO:3003077",0.638234289617486,0,0.638234289617486,0.667408977489201,2.44378224805695,2.10857043786481,8.77186475409836,25.0778114754098,3.52560276457789,6.7896393442623
"ARO:3003078",1.00164700346207,0.500148319846575,1.18118847976668,0,1.00164700346207,1.00164700346207,0.500203320054555,2.65679969099281,1.17500962800531,2.44707424960506
"ARO:3003079",0.500161668418074,0.752768571659526,1.50468258426966,0.999809560083794,0,1.00032333683615,1.42031392347404,1.61328016003081,1.70597892422418,3.72238483146067
"ARO:3003092",0.685652636015466,1.40696140509573,2.61331005044625,1.10522015221553,1.99902278311369,0.972404833458552,1.21045278311119,4.51367571822117,2.11874779679605,4.06350894937143
"ARO:3003096",1.00180324584252,4.62093740363861,12.0767192020556,2.30898889376342,6.21685103746354,1.41508537998366,3.06434716620062,6.13694291158348,0,2.54752106603958
"ARO:3003097",8.61610523727563,29.3555881818732,100.144548041412,12.7412914497871,27.2664703077905,1.29624839415298,1.08202462500826,3.19776940579656,1.36213644386463,2.70577930561237
"ARO:3003107",0,0.999600159936026,1.80715278655377,0,0,0,0,0,2.83608151320991,5.42801365050688
"ARO:3003109",0,0,0,0.667444793259814,0,0,0,0,0,0
"ARO:3003209",0,1,1,1.96232339089482,1.00040016006403,0,0,0,0,0
"ARO:3003210",0,0,0,0,0,0,0,0,0.999783263767994,1.00071687718111
"ARO:3003285",0,0,0.98962598962599,0.90513900997772,0,0,0,0,0,0
"ARO:3003288",31.3270816228863,71.6037617087852,253.987356000209,29.6226856336493,73.6266506179208,96.5038064325913,240.340193043162,845.447562920367,127.800742310556,312.218358635009
"ARO:3003294",20.0625354482096,53.2315142526891,184.392039764278,13.2610882240436,35.6808307264512,34.1218878112189,93.600855031181,319.803190315889,57.1240765684008,136.77890623636
"ARO:3003296",0,0,2.00649594674397,0,1.00660331776454,0,0,0,0,0
"ARO:3003301",0,1.00158640531311,0.998463901689708,0,0.498991867278312,0,0,0,0,0
"ARO:3003303",34.8938360539759,85.0504522613065,326.342455536431,36.3218289306293,82.7852029234952,58.9830543706919,155.115907106688,563.525446714394,105.775960986804,271.551510389384
"ARO:3003305",0,0,0,0,0,0.997466435254454,0.997466435254454,0.997466435254454,0,0
"ARO:3003306",0.729626580857592,1.04156473960822,1.67285484242006,0,0.999579242636746,2.1858547906711,3.21607181483885,7.09245878182823,4.41620140854285,9.89648944099379
"ARO:3003307",0,0,0,0.9951245575369,0,0,0,0,0,0
"ARO:3003308",18.3083528693372,47.1782374449416,168.263888888889,17.6672633965867,38.6309705917862,65.214179296511,157.203516442704,570.730711804383,86.5539588350928,229.02879302001
"ARO:3003309",0,0,0,0,0.566628257637122,0,0,0,0,0.497918699834691
"ARO:3003310",0.648887158523133,0.994187825022943,0.894268871987989,0,0,0,0,0,0,0
"ARO:3003311",0,0.746633904670582,0.689435968562182,0,0,0,0,0,0,0
"ARO:3003315",0,0,0,0,0.638025412800188,0,0,0,0,0
"ARO:3003316",15.0808431061807,43.7433449550977,158.870810353936,13.4360802958267,31.829646064448,52.7946656101426,134.650058108822,487.542736397253,61.0793660855784,152.232012678288
"ARO:3003319",0,0,0.498646292447684,0.995619275189168,0,0,0,0,0,1.00574421697075
"ARO:3003323",0,0,1.00026006761758,0,0,0,0,0,0,0
"ARO:3003333",26.0583820393012,64.5384061103905,239.181342172263,22.980340238199,55.9586395734256,108.891869892662,280.775143712671,1001.65147609059,121.774246411676,303.162487390114
"ARO:3003357",0,0,0,0,0.999621764737667,0,0,0,0,0
"ARO:3003368",16.7535634638942,42.1990926221785,147.031948122184,15.0773554942259,34.8485491244985,63.0174215779043,135.329436133487,487.514101602559,61.6334152334152,157.048696586114
"ARO:3003369",15.8761837643502,41.1960397027283,133.310337236946,19.2813607977977,42.1945270672219,95.4801053281944,218.151976754425,796.820034005629,98.5765177784308,255.951004792161
"ARO:3003372",3.60282461449777,10.5883975946233,40.5083126989742,2.92811382305546,13.3244163424124,24.6108477773847,48.8368212570547,199.743839169909,12.4287295184379,47.9634498311541
"ARO:3003373",4.1635975422427,5.88171121351767,26.6681397849462,1.59147766793236,2.64669124423963,11.4100476532726,18.458579109063,77.2127834101382,3.57298276083245,12.2903225806452
"ARO:3003374",0,0,0,0,0,1.17758112610289,2.56015768141691,2.04035828691518,0,0
