	CARD_KENYA_30_SAMPLE_POOL_20M	CARD_KENYA_30_SAMPLE_POOL_50M	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL_20M	CARD_KENYA_POP_POOL_50M	CARD_UK_30_SAMPLE_POOL_20M	CARD_UK_30_SAMPLE_POOL_50M	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL_20M	CARD_UK_POP_POOL_50M
3003440_AB498758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002874_AB522969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002263_AB529520	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001177_AB551737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002270_AB563173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003046_AB566411	0.0	0.0	0.0	0.0	0.0	130.6	143.95	142.5	145.0	128.6
3003742_AB571865.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003745_AB571865.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002069_AB587082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.8	135.1
3001484_AB634250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000854_AB636283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003039_AB639410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004628_AB669090.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002100_AB699171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001057_AB700703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001985_AB703103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003677_AB709942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002225_AB715422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001204_AB733453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002774_AB734053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002773_AB734055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001827_AB737978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002358_AB744718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002233_AB753456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002231_AB753457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002232_AB753458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004106_AB758278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002993_AB765395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002234_AB777500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002235_AB777501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001682_AB781687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001557_AB871653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002071_AB872957.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000785_AB894099	150.0	0.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003199_AB894482.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001994_AB900900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002353_AB901141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003210_AB908992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	137.5
3002008_AB916359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003207_AB917040	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002362_AB926431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003116_AB983359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003931_ACLQ01000019.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003072_ACMJ01000036.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004588_ACWO01000051.1	131.792	141.826	140.936	144.786	145.932	142.182	145.1	144.216	147.167	144.63
3003964_AE000511.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003458_AE000516.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003445_AE000516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003465_AE000516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003395_AE000516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003777_AE000783.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004561_AE001437.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000810_AE002098.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003961_AE002098.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003962_AE002098.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003937_AE002098.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000811_AE002098.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004289_AE003852.1	0.0	0.0	136.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004364_AE003852.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000149_AE004091.2	129.6	130.5	134.86	0.0	145.0	0.0	0.0	0.0	0.0	0.0
3003895_AE004091.2	140.464	142.818	142.95	145.6	143.312	149.5	148.222	144.227	141.0	149.0
3003896_AE004091.2	143.121	143.581	143.156	148.7	147.583	149.0	137.5	140.194	0.0	0.0
3003679_AE004091.2	146.221	145.845	145.588	139.5	141.763	149.5	146.6	144.375	0.0	0.0
3003680_AE004091.2	146.062	145.298	146.04	144.071	145.875	149.5	142.208	145.697	0.0	138.0
3003681_AE004091.2	147.968	147.056	146.944	149.0	146.976	149.667	147.409	146.78	125.5	149.125
3003709_AE004091.2	138.556	145.105	143.207	150.0	149.0	149.667	141.0	133.812	0.0	105.0
3000814_AE004091.2	144.7	144.0	143.515	125.0	134.5	0.0	130.667	137.444	0.0	0.0
3000803_AE004091.2	144.75	145.41	145.253	147.25	144.75	141.75	144.667	142.85	149.5	150.0
3000804_AE004091.2	147.862	147.053	146.459	144.6	144.893	146.889	142.107	147.155	143.0	145.8
3000805_AE004091.2	144.75	147.051	146.341	145.6	145.2	150.0	149.5	148.78	0.0	147.5
3002985_AE004091.2	145.5	145.821	145.783	139.222	145.879	145.833	141.25	144.068	149.0	0.0
3000819_AE004091.2	144.611	143.75	143.545	142.167	145.7	143.833	148.1	145.364	0.0	0.0
3003710_AE004091.2	142.942	144.276	143.111	147.875	139.333	148.2	147.75	146.933	0.0	149.333
3000818_AE004091.2	142.364	139.103	142.067	148.5	148.0	150.0	147.0	147.308	0.0	150.0
3000806_AE004091.2	141.881	145.633	143.058	148.75	138.222	149.0	138.5	138.906	149.0	108.0
3000807_AE004091.2	147.5	144.934	146.158	149.4	143.091	148.0	142.958	144.096	149.0	147.333
3000809_AE004091.2	143.0	143.044	143.573	145.286	146.971	146.25	149.5	145.959	0.0	143.167
3000379_AE004091.2	143.907	143.488	144.08	135.25	146.5	148.45	143.909	144.237	137.5	148.9
3003030_AE004091.2	145.632	143.508	145.559	143.938	148.143	0.0	147.083	146.735	0.0	0.0
3003582_AE004091.2	144.5	140.637	140.851	148.0	149.85	150.0	107.0	139.444	0.0	149.0
3003682_AE004091.2	144.42	146.287	145.07	150.0	149.0	143.667	145.5	144.516	0.0	130.167
3004038_AE004091.2	146.607	137.021	138.0	149.0	137.5	0.0	0.0	135.0	0.0	0.0
3004077_AE004091.2	144.667	142.369	142.199	127.0	138.111	150.0	132.643	140.185	0.0	150.0
3004107_AE004091.2	133.714	142.056	137.9	149.0	149.5	0.0	138.5	141.4	147.0	147.0
3004072_AE004091.2	149.659	146.707	147.313	149.5	149.4	136.75	145.667	144.397	0.0	101.0
3004075_AE004091.2	147.548	147.032	147.058	149.2	148.796	147.9	148.667	147.469	0.0	149.25
3004074_AE004091.2	147.279	146.187	146.363	144.222	146.21	142.55	146.923	145.147	129.5	150.0
3004073_AE004091.2	143.174	143.213	144.012	145.812	148.15	139.833	141.0	142.54	0.0	150.0
3003684_AE004091.2	146.655	147.284	146.509	144.545	147.212	137.75	147.667	145.957	148.0	146.333
3003693_AE004091.2	146.479	145.743	146.26	145.45	146.177	148.429	148.259	148.072	149.5	0.0
3003692_AE004091.2	142.365	144.725	145.073	149.5	146.111	145.0	148.938	146.759	0.0	149.75
3004056_AE004091.2	120.0	120.0	120.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000506_AE004091.2	149.4	139.933	140.115	148.0	130.6	149.667	145.5	146.675	149.0	135.0
3003685_AE004091.2	147.396	147.072	146.547	146.778	143.737	135.188	141.269	144.149	0.0	150.0
