	CARD_KENYA_30_SAMPLE_POOL_20M	CARD_KENYA_30_SAMPLE_POOL_50M	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL_20M	CARD_KENYA_POP_POOL_50M	CARD_UK_30_SAMPLE_POOL_20M	CARD_UK_30_SAMPLE_POOL_50M	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL_20M	CARD_UK_POP_POOL_50M
3002037_AB300358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001115_AB302939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004674_AB304512.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000847_AB364006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002050_AB372224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001160_AB372881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002735_AB379831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002052_AB429270	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002574_AB462903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003954_AB467372.1	1.0	0.0	11.0	6.0	12.0	1.0	6.0	23.0	19.0	61.0
3004638_AB472901.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003440_AB498758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002874_AB522969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002263_AB529520	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001177_AB551737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002270_AB563173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003046_AB566411	0.0	0.0	0.0	0.0	0.0	5.0	10.0	34.0	3.0	5.0
3003742_AB571865.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
