lineage	KENYA_30_SAMPLE_POOL_20M.bracken	KENYA_30_SAMPLE_POOL_50M.bracken	KENYA_30_SAMPLE_POOL.bracken	KENYA_POP_POOL_20M.bracken	KENYA_POP_POOL_50M.bracken	UK_30_SAMPLE_POOL_20M.bracken	UK_30_SAMPLE_POOL_50M.bracken	UK_30_SAMPLE_POOL.bracken	UK_POP_POOL_20M.bracken	UK_POP_POOL_50M.bracken
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella sp. X13	7	38	131	0	30	76	163	626	1450	3822
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella sp. DY2415	5	15	45	8	7	53	157	507	1252	3533
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella sp. XY-1	5	10	60	5	19	77	118	580	1815	4595
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri	35365	92714	335502	23250	58614	51714	130184	471014	67108	168745
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella dysenteriae	3542	8989	33381	2445	6252	5678	14049	51032	7900	19591
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sonnei	3759	9247	33901	4330	9503	5163	13513	49086	7689	18004
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella boydii	4149	10045	38336	2879	7229	7468	18872	67497	9317	23168
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sp. MO17	91	189	643	41	103	207	514	1848	124	267
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sp. PIB	80	543	1641	227	590	935	2204	8570	849	2286
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii	1353	3351	12360	3627	9269	87173	220365	784347	145500	366446
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter portucalensis	358	846	3214	796	1899	15317	38927	137016	61940	156250
