lineage	KENYA_30_SAMPLE_POOL_20M.bracken	KENYA_30_SAMPLE_POOL_50M.bracken	KENYA_30_SAMPLE_POOL.bracken	KENYA_POP_POOL_20M.bracken	KENYA_POP_POOL_50M.bracken	UK_30_SAMPLE_POOL_20M.bracken	UK_30_SAMPLE_POOL_50M.bracken	UK_30_SAMPLE_POOL.bracken	UK_POP_POOL_20M.bracken	UK_POP_POOL_50M.bracken
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia sp. HH130630-07	14	38	143	32	75	37	81	243	18	72
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia sp. HH130629-09	6	17	109	13	44	9	36	128	7	28
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia dioxanivorans	14	31	108	14	36	21	59	206	30	76
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia broussonetiae	16	33	139	26	72	18	64	222	34	88
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia autotrophica	13	34	163	21	39	12	51	180	35	73
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia abyssalis	12	21	74	16	31	16	60	200	26	75
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia petroleophila	11	23	86	20	61	21	47	161	19	55
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora;s__Saccharopolyspora erythraea	22	54	188	21	97	35	82	329	41	98
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora;s__Saccharopolyspora rosea	19	39	147	26	64	27	68	204	33	88
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora;s__Saccharopolyspora gloriosae	11	27	111	14	44	17	46	152	20	53
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora;s__Saccharopolyspora spinosa	9	13	71	9	33	11	27	85	9	36
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora;s__Saccharopolyspora gregorii	5	26	89	13	39	19	45	164	26	72
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora;s__Saccharopolyspora sp. ASAGF58	6	23	71	5	35	12	30	111	13	36
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora;s__Saccharopolyspora pogona	3	6	55	23	31	12	24	93	9	36
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharothrix;s__Saccharothrix espanaensis	25	64	240	28	72	27	75	255	28	91
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharothrix;s__Saccharothrix syringae	21	46	173	29	69	29	65	239	33	95
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharothrix;s__Saccharothrix sp. 6-C	13	36	118	20	53	23	54	205	23	63
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Kutzneria;s__Kutzneria chonburiensis	21	55	187	20	44	22	50	199	28	76
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Kutzneria;s__Kutzneria sp. CA-103260	15	32	173	27	55	32	74	247	30	75
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Kutzneria;s__Kutzneria albida	13	36	111	17	44	22	82	258	22	66
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharomonospora;s__Saccharomonospora marina	9	18	70	16	27	16	38	145	27	51
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharomonospora;s__Saccharomonospora xinjiangensis	9	17	60	12	29	14	32	115	13	44
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharomonospora;s__Saccharomonospora azurea	9	26	76	20	45	16	38	148	9	29
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharomonospora;s__Saccharomonospora viridis	4	9	46	5	27	6	9	32	7	17
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharomonospora;s__Saccharomonospora cyanea	2	19	81	14	42	14	34	106	17	60
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharomonospora;s__Saccharomonospora glauca	1	10	38	7	16	17	36	127	15	46
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Lentzea;s__Lentzea guizhouensis	12	30	113	9	48	23	51	205	33	78
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Lentzea;s__Lentzea sp. HUAS12	10	29	137	26	44	23	49	187	37	59
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Kibdelosporangium;s__Kibdelosporangium phytohabitans	20	27	115	21	35	25	49	178	30	68
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinokineospora;s__Actinokineospora sp. UTMC 2448	22	33	113	30	52	17	33	168	12	60
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinoalloteichus;s__Actinoalloteichus hymeniacidonis	12	13	48	16	26	10	24	112	13	46
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinoalloteichus;s__Actinoalloteichus hoggarensis	8	23	68	43	41	17	34	128	19	44
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinosynnema;s__Actinosynnema pretiosum	18	28	128	30	90	38	80	350	40	111
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinosynnema;s__Actinosynnema mirum	3	19	51	0	0	0	34	92	13	36
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Crossiella;s__Crossiella sp. CA-258035	13	32	108	12	48	23	44	168	20	89
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Allokutzneria;s__Allokutzneria albata	13	37	127	26	48	14	52	159	27	67
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Alloactinosynnema;s__Alloactinosynnema sp. L-07	7	22	91	19	26	9	34	135	14	49
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Prauserella;s__Prauserella marina	7	20	71	18	38	26	57	217	23	60
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Allosaccharopolyspora;s__Allosaccharopolyspora coralli	6	11	54	14	25	7	23	107	11	41
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMC415	13	21	81	13	35	8	37	94	36	52
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. HUAS 3	10	17	63	10	19	4	23	75	13	37
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. LH3U1	10	28	86	11	27	6	21	107	22	52
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMD882	10	34	124	25	45	16	29	115	19	44
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. HM134	8	14	69	4	24	11	28	104	11	33
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMD812	7	24	82	12	26	26	68	217	6	50
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Verrucosispora sp. NA02020	6	17	75	10	14	11	58	159	19	59
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMA1947	8	18	39	8	15	6	30	75	12	37
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMD964	10	31	89	12	34	21	61	203	22	70
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. B006	6	28	81	1	21	7	16	64	8	36
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMD1155	7	9	33	16	19	5	17	98	19	27
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMD987	6	33	109	18	47	20	52	185	14	38
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMD998	4	10	47	0	10	10	25	82	9	24
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMA2032	5	9	45	6	10	8	15	58	15	23
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMD714	8	13	35	5	16	13	30	123	16	50
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Verrucosispora sp. WMMD1129	3	4	40	10	33	14	44	155	11	28
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMA1976	5	9	33	5	18	10	25	72	11	21
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMD975	12	11	81	23	35	7	28	101	24	41
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMA1998	1	16	61	1	11	13	33	139	13	46
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. L5	9	0	56	17	9	6	21	44	0	16
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMD712	2	11	40	2	14	18	31	108	9	22
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sp. WMMC264	5	15	59	57	67	74	130	601	49	79
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Verrucosispora sp. WMMA2044	1	3	25	1	11	1	12	48	6	15
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Verrucosispora sp. WMMD573	1	2	25	6	17	5	21	68	12	24
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora echinofusca	17	27	118	16	30	16	43	142	11	53
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora echinaurantiaca	17	47	167	21	47	16	38	143	32	71
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora chokoriensis	14	17	59	21	31	4	25	66	9	22
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora ferruginea	12	15	49	12	26	11	37	126	11	38
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora viridifaciens	10	31	100	15	34	26	43	182	26	40
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora inositola	10	23	86	4	18	8	19	82	4	31
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora maris	10	23	102	8	26	5	18	70	18	46
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora craniellae	10	17	68	7	26	10	31	93	13	42
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora terminaliae	8	22	62	16	19	12	38	139	20	40
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora sagamiensis	8	17	72	4	28	15	27	142	18	36
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora zamorensis	8	14	51	13	36	10	31	95	12	35
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora narathiwatensis	7	10	71	8	23	9	21	93	16	41
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora echinospora	5	41	127	15	42	8	44	132	15	63
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora tulbaghiae	9	43	142	16	57	16	36	110	16	42
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora coxensis	6	13	52	14	35	7	39	107	23	51
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora siamensis	5	23	83	8	39	12	31	109	16	40
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora auratinigra	7	33	88	15	51	19	51	165	19	56
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora krabiensis	4	17	61	11	25	7	19	91	13	34
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora coriariae	4	30	104	18	32	10	16	74	21	36
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora endophytica	3	10	41	7	22	9	27	120	24	39
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora chalcea	11	26	55	0	23	4	9	46	0	10
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora purpureochromogenes	2	4	22	10	18	12	20	81	12	29
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora carbonacea	2	14	46	12	20	6	23	66	2	30
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora aurantiaca	5	28	155	9	48	19	62	244	28	81
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes;s__Actinoplanes sp. L3-i22	25	68	249	47	94	38	119	408	63	156
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes;s__Actinoplanes sp. N902-109	13	38	147	28	60	24	76	232	30	80
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes;s__Actinoplanes sp. OR16	13	35	146	12	50	25	64	210	26	79
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes;s__Actinoplanes ianthinogenes	20	45	148	24	58	22	54	205	31	89
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes;s__Actinoplanes derwentensis	14	43	134	31	70	20	70	237	38	99
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes;s__Actinoplanes missouriensis	16	58	245	31	86	38	69	278	36	75
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes;s__Actinoplanes friuliensis	13	35	154	14	68	29	71	238	28	81
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes;s__Actinoplanes teichomyceticus	14	32	115	32	49	13	36	156	24	56
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Dactylosporangium;s__Dactylosporangium aurantiacum	14	50	165	24	67	32	76	274	41	101
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Dactylosporangium;s__Dactylosporangium vinaceum	16	52	204	30	55	15	41	162	18	59
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Dactylosporangium;s__Dactylosporangium roseum	7	26	73	8	33	11	29	130	14	50
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Dactylosporangium;s__Dactylosporangium fulvum	4	11	83	16	50	21	45	161	21	58
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Dactylosporangium;s__Dactylosporangium matsuzakiense	9	25	104	11	49	17	47	164	24	79
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Phytohabitans;s__Phytohabitans flavus	12	26	111	7	37	19	35	138	20	50
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Phytohabitans;s__Phytohabitans suffuscus	12	39	139	22	58	23	60	216	32	83
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Solwaraspora;s__Solwaraspora sp. WMMD791	9	38	112	19	48	20	70	232	30	75
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Solwaraspora;s__Solwaraspora sp. WMMD937	2	10	34	7	42	19	69	204	16	67
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Solwaraspora;s__Solwaraspora sp. WMMA2080	12	23	72	0	0	0	0	0	0	0
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Actinocatenispora;s__Actinocatenispora thailandica	10	20	84	27	78	28	58	190	34	81
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Actinocatenispora;s__Actinocatenispora sera	9	29	100	11	37	13	33	119	24	56
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Plantactinospora;s__Plantactinospora sp. KBS50	9	14	81	8	35	32	53	189	28	45
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Plantactinospora;s__Plantactinospora sp. BB1	7	19	62	6	0	0	22	91	14	21
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Couchioplanes;s__Couchioplanes caeruleus	12	40	136	25	55	18	42	167	34	87
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Salinispora;s__Salinispora tropica	12	23	85	10	21	10	25	72	12	24
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Natronosporangium;s__Natronosporangium hydrolyticum	10	28	99	21	52	74	224	721	38	81
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Catellatospora;s__Catellatospora sp. IY07-71	9	32	120	19	67	21	52	196	20	53
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Polymorphospora;s__Polymorphospora rubra	8	14	57	8	24	15	25	115	28	59
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Nocardiopsis;s__Nocardiopsis alba	27	52	200	42	88	40	106	365	53	103
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Nocardiopsis;s__Nocardiopsis gilva	13	23	97	11	16	26	56	198	22	65
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Nocardiopsis;s__Nocardiopsis exhalans	9	18	84	13	45	18	39	154	23	56
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Nocardiopsis;s__Nocardiopsis dassonvillei	10	31	100	10	47	25	89	238	45	107
NA	15	35	139	15	27	3	25	83	0	29
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Nocardiopsis;s__Nocardiopsis akebiae	9	28	78	17	48	34	62	237	26	61
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Thermobifida;s__Thermobifida fusca	8	13	58	17	43	8	24	95	13	42
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Thermobifida;s__Thermobifida alba	8	20	96	20	46	41	100	344	37	81
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Thermobifida;s__Thermobifida halotolerans	5	13	60	11	22	15	34	110	13	47
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Streptomonospora;s__Streptomonospora nanhaiensis	8	33	111	24	81	21	43	139	31	51
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Streptomonospora;s__Streptomonospora litoralis	9	25	81	15	27	22	46	168	22	60
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Spiractinospora;s__Spiractinospora alimapuensis	3	16	49	16	38	19	46	164	19	53
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinomadura;s__Actinomadura sp. WMMA1423	16	39	130	33	82	38	108	399	35	77
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinomadura;s__Actinomadura sp. WMMB 499	10	33	97	14	38	19	53	187	31	71
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinomadura;s__Actinomadura sp. NAK00032	11	20	113	15	45	14	30	146	37	82
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinomadura;s__Actinomadura verrucosospora	18	46	145	24	51	29	77	250	33	84
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinomadura;s__Actinomadura madurae	17	36	165	28	64	32	78	272	35	100
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinomadura;s__Actinomadura graeca	13	24	101	16	42	22	54	198	30	52
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Thermomonosporaceae;g__Thermomonospora;s__Thermomonospora amylolytica	15	41	161	30	53	35	68	235	32	67
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Thermomonosporaceae;g__Thermomonospora;s__Thermomonospora curvata	10	30	112	19	29	14	42	133	20	56
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nonomuraea;s__Nonomuraea coxensis	18	40	155	21	56	31	54	220	30	57
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nonomuraea;s__Nonomuraea phyllanthi	18	63	200	17	71	33	82	281	32	98
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nonomuraea;s__Nonomuraea gerenzanensis	17	43	163	24	60	20	77	274	34	95
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nonomuraea;s__Nonomuraea sp. ATCC 55076	16	56	201	34	95	32	69	248	38	83
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Streptosporangium;s__Streptosporangium roseum	24	41	171	28	66	38	115	395	61	110
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Streptosporangium;s__Streptosporangium sp. 'caverna'	11	51	178	35	94	33	73	253	36	106
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Thermobispora;s__Thermobispora bispora	4	19	63	9	25	13	33	126	18	42
k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Spongiactinospora;s__Spongiactinospora sp. TRM90649	1	1	10	4	17	2	3	14	0	1
